area,perimetro,maior-eixo,menor-eixo,arredondamento,area-convexa,extensao
14730,483.705993652344,196.451263427734,96.8864288330078,0.869925558567047,15006,0.653099238872528
17313,531.9840087890631,225.534591674805,98.4435043334961,0.899709284305573,17582,0.569881498813629
14034,491.731994628906,205.50511169433602,88.35205841064449,0.9028639793395999,14448,0.5559120774269101
14195,488.45999145507795,203.51271057128898,89.9586563110352,0.897000432014465,14555,0.7173539400100709
13340,474.682006835937,201.385330200195,85.8885879516602,0.9044928550720219,13603,0.7016621232032779
12994,457.190002441406,187.33479309082,89.4096298217773,0.878755688667297,13335,0.763589322566986
10921,425.01199340820295,175.638320922852,80.6068801879883,0.8884689211845401,11271,0.770440936088562
12682,459.964996337891,195.435501098633,83.6043243408203,0.903880655765533,12892,0.582812488079071
14017,471.81399536132795,194.643447875977,92.3601303100586,0.8802504539489749,14314,0.708788454532623
10702,409.265991210938,160.700149536133,85.8703155517578,0.84526252746582,10990,0.686025619506836
12867,449.079986572266,181.70056152343798,91.341064453125,0.8644603490829471,13152,0.6490617394447329
12037,436.201995849609,177.23352050781298,87.2996063232422,0.8702738285064701,12285,0.671932578086853
9741,430.559997558594,180.06628417968798,71.1744918823242,0.91856575012207,10204,0.7645996809005741
12495,458.40701293945295,187.604202270508,87.02569580078121,0.885898411273956,12993,0.6749311089515689
13819,487.670013427734,207.970764160156,86.187744140625,0.9100846648216251,14181,0.569691240787506
11850,440.864990234375,178.62243652343798,86.1668701171875,0.8759528994560241,12201,0.783730149269104
10187,404.96798706054705,160.22644042968798,82.3290023803711,0.8578925728797909,10489,0.616273462772369
15043,498.299011230469,206.01170349121102,94.7666854858398,0.887915670871735,15414,0.58688360452652
11011,414.302001953125,170.346603393555,83.2529525756836,0.872436881065369,11188,0.7209926843643192
10964,417.986999511719,171.390228271484,82.60121154785159,0.8761997222900391,11247,0.596680283546448
14897,491.184997558594,205.71984863281202,92.8756942749024,0.8922879099845891,15137,0.5944533348083499
12535,442.93798828125,185.836700439453,86.9127197265625,0.883896112442017,12669,0.6017184853553771
10767,425.036010742187,182.064071655273,76.1056671142578,0.908439755439758,11004,0.7426029443740849
11559,427.02999877929705,173.23777770996102,87.18897247314449,0.864117085933685,11840,0.6991471648216251
12120,441.0,180.376525878906,86.7160797119141,0.8768575191497799,12479,0.642255306243897
11337,417.27099609375,174.463195800781,83.5051574707031,0.8780109286308292,11477,0.8180834054946899
12720,461.805999755859,197.944000244141,82.811279296875,0.90828263759613,12974,0.756782472133637
15149,509.13699340820295,214.007461547852,91.2837295532227,0.9044665098190309,15516,0.707104206085205
11136,427.109985351563,175.653076171875,81.9187774658203,0.884591400623322,11474,0.5743759274482729
14458,475.044006347656,196.986114501953,93.9998931884766,0.878799915313721,14669,0.601890027523041
12730,462.369995117188,192.69361877441398,85.3343048095703,0.8965958952903751,13160,0.6337116956710821
16593,524.8380126953131,218.103820800781,97.85260009765629,0.8937067985534671,16814,0.5932852029800421
14892,503.64700317382795,213.27195739746102,90.4786605834961,0.9055494070053101,15279,0.593922019004822
